,message,created_time
1,"NEW FIGURES: We're delivering on our commitment to recruit 20,000 new police officers 📈",2023-01-30T20:00:03+0000
2,🥀 Labour's priority tonight in Parliament is to back their union paymasters' strikes and keep schools closed,2023-01-30T17:57:49+0000
3,"One of our 5 priorities is to grow the economy.  To do that, we are supporting high-skilled jobs across the United Kingdom.  Rishi Sunak visits Hitachi Rail in County Durham with Paul Howell MP for Sedgefield 👇",2023-01-30T16:11:55+0000
5,Delivering these promises will give people peace of mind today and provide the foundation for a better future   💬 Chancellor Jeremy Hunt,2023-01-27T13:12:35+0000
7,Rishi Sunak has just announced more support for mental health patients 👇,2023-01-23T15:50:03+0000
9,Happy Chinese New Year to everyone celebrating here in the UK and across the world! 🐇  #YearOfTheRabbit,2023-01-22T09:15:00+0000
10,"Whilst everyone is dealing with cost of living pressures - Labour's latest spending spree will cost you £1,650 more in tax.  #SameOldLabour 🥀",2023-01-20T12:17:59+0000
11,"111 new projects. £2.1 billion.  From Cornwall to the Shetlands, we’re #LevellingUp the whole United Kingdom 🇬🇧⬆️  🔗 levellingup.campaign.gov.uk",2023-01-19T09:46:40+0000
12,"In Keir Starmer’s Labour, it’s clear: Union paymasters over NHS patients 👇  #PMQs | #SameOldLabour🥀",2023-01-18T13:31:02+0000
17,"Our Minimum Service Levels Bill will ensure that the country won't be ground to a halt during strikes.  Protecting patients, commuters and keeping children in school 👇",2023-01-16T17:35:24+0000
18,"🚔 Protests that block life-saving emergency services and cause commuter chaos must stop.  Today, we're amending the Public Order Bill to expand police ability to deal with disruptive strikes.",2023-01-16T12:54:03+0000
19,📃 Our Minimum Service Levels Bill is back in Parliament today.  We won’t let Labour-backed unions grind Britain to a halt 👇,2023-01-16T08:33:50+0000
22,We’re boosting Scotland’s prosperity and jobs by building 2 new Green Freeports 🇬🇧🏴󠁧󠁢󠁳󠁣󠁴󠁿,2023-01-13T12:46:10+0000
23,"Good News: the economy performed better than expected, growing in November 2022.  Our @Conservatives Government will continue to work to deliver on our promises to #HalveInflation #ReduceDebt and #GrowTheEconomy 📈",2023-01-13T11:04:23+0000
24,"The earlier we can detect cancer, the better.  That's why we're funding 29 new breast cancer screening units, to increase detection and save lives 👇  🔗 https://www.gov.uk/government/news/new-breast-cancer-screening-units-to-speed-up-diagnosis",2023-01-12T16:34:28+0000
25,3 years since we left the European Union.  #SameOldLabour still refuse to move on... 🥀,2023-01-12T15:41:46+0000
26,Your priorities are our priorities.  Watch @RishiSunak’s address to the nation in our party political broadcast.  Tell Rishi what matters to you 👇  https://action.conservatives.com/tellrishi/,2023-01-11T19:06:53+0000
28,JUST SIGNED: Landmark agreement allowing the UK and Japan to deploy forces in one another’s countries.  Strengthening our commitment to the stability of the Indo-Pacific  🇬🇧🤝🇯🇵  https://www.gov.uk/government/news/prime-minister-hosts-japanese-pm-and-agrees-historic-defence-agreement,2023-01-11T16:57:25+0000
31,We're taking decisive action to increase capacity in the NHS 👇,2023-01-09T13:26:43+0000
32,We wish all Orthodox Christians a very Merry Christmas ☦️,2023-01-07T09:00:03+0000
33,Our new laws coming into effect today - people will get gigabit broadband access for all newly built houses and flats. 👇,2023-01-06T13:42:14+0000
34,"🗣 3,104 words in today's speech and not a single mention of these vital issues.   🗣 Keir Starmer talks whilst Conservatives deliver.",2023-01-05T16:35:35+0000
39,"Your priorities are our priorities.  Today, the Prime Minister set out 5 promises to the British people 👇",2023-01-04T16:11:10+0000
40,Your priorities are our priorities.  Rishi Sunak sets out his vision 👇,2023-01-04T15:00:37+0000
41,"🩺 More NHS staff, more funding, more hospitals and cutting Covid backlogs - that's what Conservatives are delivering for patients",2023-01-04T08:35:02+0000
42,"🚨 We are making streets safer with more police on the beat, backed by almost £17 billion in funding - the highest in over a decade.",2023-01-03T08:32:04+0000
44,🎆 Happy New Year! 🎆,2023-01-01T00:06:31+0000
47,"We are delivering on the people's priorities - boosting budgets for the NHS and schools, and helping every household with the cost of living 👇",2022-12-29T16:16:22+0000
48,🎄 We wish you and your loved ones a very Merry Christmas! 🎄,2022-12-25T08:00:04+0000
50,🤫 24 hours before Christmas strikes chaos from Labour’s mate Mick ‘the Grinch’ Lynch and Keir Starmer is still silent.  🚗🚗🚗 Labour's nightmare before Christmas means more time in traffic for 17 million motorists,2022-12-23T10:10:11+0000
52,Chag Chanukah Sameach! 🕎,2022-12-21T20:26:42+0000
53,🇬🇧 ✅ Deal done.,2022-12-21T20:18:13+0000
54,🇬🇧 📸 Rishi Sunak visiting troops on duty in Estonia to thank them for their service to the British people,2022-12-20T08:30:03+0000
55,"✅ We’re delivering our plan to secure our borders with tougher prison terms, more deportations and more border officers.   🥀 Labour’s weak response? To vote against it time and time again.",2022-12-19T16:52:28+0000
59,🚨 NEW: Rishi Sunak has just announced new measures to tackle illegal migration 👇  ✈️ More enforcement and deportations 💷 Lower costs to taxpayers 👮‍♂️ Improved policing of the Channel,2022-12-13T13:37:44+0000
60,Britain will reach beyond our established alliances to help shape the world of tomorrow.  💬 Foreign Secretary @JamesCleverly,2022-12-12T16:28:10+0000
61,"📣 Good Luck, England!   🦁 We're cheering on our #ThreeLions against France tonight  #ENGFRA | #FIFAWorldCup | #Qatar2022",2022-12-10T18:18:45+0000
62,We're taking back control of EU funding with £2.6 billion investment into communities through our UK Shared Prosperity Fund 🇬🇧  🏷 Supporting local businesses 👷‍♀️ Boosting skills and creating jobs 🛍 Levelling up our high streets,2022-12-08T16:23:58+0000
63,We are levelling up campuses across England with almost £490 million of funding to help transform and modernise educational facilities. 👇,2022-12-08T11:43:57+0000
64,Labour's record on housing 👇  📉 House building down in London ❌ Low ambitions in Wales  We can't trust #SameOldLabour on housing  #PMQs,2022-12-07T12:50:41+0000
65,"AGREED: UK-US Energy Partnership ⚡️  📉 Reducing global dependence on Russian energy 📈 Increasing collaboration on energy efficiency, nuclear, and renewables  🇬🇧🤝🇺🇸",2022-12-07T11:37:29+0000
66,We're helping schools and colleges save money on energy bills with:  ✅ Better heating controls ✅ Better insulation ✅ Better ventilation,2022-12-06T14:58:16+0000
67,"Christmas is on its way, but the work continues 🇬🇧👇",2022-12-05T20:00:06+0000
68,👇 Nadhim Zahawi is right. Labour have no plans.,2022-12-05T14:27:19+0000
69,👏 Congratulations England!   🏴󠁧󠁢󠁥󠁮󠁧󠁿 Onward to the quarter-final for Three Lions vs France  #ENGvsSEN | #FIFAWorldCup | #Qatar2022,2022-12-04T20:57:42+0000
71,"Christmas is on its way, but the work continues 🇬🇧👇",2022-12-02T17:27:37+0000
72,"🇬🇧 🤝 🇺🇦  Our new digital trade deal will help protect jobs, livelihoods and families now and in Ukraine’s post-war future.",2022-12-01T14:56:14+0000
73,"📆 On this day in 1874, Sir Winston Churchill was born. He would go on to lead the country and our party through World War 2 and into peacetime.",2022-11-30T18:59:45+0000
76,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Happy St. Andrew’s Day! 🏴󠁧󠁢󠁳󠁣󠁴󠁿,2022-11-30T10:40:34+0000
77,Good luck to @england & @fawales tonight at the #fifaworldcup2022 !  🏴󠁧󠁢󠁥󠁮󠁧󠁿 or 🏴󠁧󠁢󠁷󠁬󠁳󠁿 - comment your score predictions 👇  #ENGWAL,2022-11-29T16:20:21+0000
78,We're ending Chinese involvement in the Sizewell C nuclear plant.  British energy will power 6 million homes on our path to energy independence⚡️,2022-11-29T16:14:18+0000
81,We’re amending the Online Safety Bill to make the internet safer for children.  The Bill is about holding social media giants to account for their actions.  📺 Watch Michelle Donelan MP,2022-11-29T10:59:00+0000
82,"This #NationalTreeWeek🌳, Environment Secretary Therese Coffey is investing £20m into projects that support our nation's cherished woodlands, and plant more urban trees.  📰 https://www.express.co.uk/news/nature/1702456/therese-coffey-fund-plant-more-trees-climate-change",2022-11-28T16:05:48+0000
83,We’re launching a new scheme to help millions save on their energy bills and insulate hundreds of thousands of homes across the UK. 👇,2022-11-28T12:02:02+0000
85,We're tackling violence against women and girls. 👇,2022-11-25T14:42:16+0000
