comment_text,label,party
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
😡,0,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😡,0,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
❤️,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
❤️,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
❤️,2,conservatives
👍,2,conservatives
😆,2,conservatives
😆,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😡,0,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
😆,2,conservatives
👍,2,conservatives
❤️,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
❤️,2,conservatives
👍,2,conservatives
😆,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
😡,0,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,conservatives
👍,2,labour
❤️,2,labour
❤️,2,labour
😆,2,labour
👍,2,labour
❤️,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
❤️,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
❤️,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
❤️,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
😆,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
😆,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
❤️,2,labour
😡,0,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
👍,2,labour
😆,2,labour
👍,2,labour
