,comment_text,label,party
76269,👍,2,conservatives
80620,👍,2,conservatives
56858,😆,2,conservatives
35745,😆,2,conservatives
32937,😆,2,conservatives
22121,👍,2,conservatives
86195,👍,2,conservatives
88088,❤️,2,conservatives
43731,👍,2,conservatives
32328,👍,2,conservatives
53561,👍,2,conservatives
46340,👍,2,conservatives
29394,👍,2,conservatives
29244,👍,2,conservatives
66029,👍,2,conservatives
67247,😡,0,conservatives
92711,👍,2,conservatives
55258,👍,2,conservatives
39182,👍,2,conservatives
63162,❤️,2,conservatives
16476,👍,2,conservatives
80864,👍,2,conservatives
85658,👍,2,conservatives
29636,👍,2,conservatives
65427,👍,2,conservatives
9776,😆,2,conservatives
83041,👍,2,conservatives
68550,👍,2,conservatives
76793,👍,2,conservatives
47592,👍,2,conservatives
32597,👍,2,conservatives
95214,👍,2,conservatives
77196,👍,2,conservatives
85129,👍,2,conservatives
93623,😆,2,conservatives
86958,❤️,2,conservatives
17999,❤️,2,conservatives
96951,😆,2,conservatives
90623,👍,2,conservatives
17248,👍,2,conservatives
94709,👍,2,conservatives
79923,👍,2,conservatives
88689,👍,2,conservatives
22634,👍,2,conservatives
6351,👍,2,conservatives
47783,👍,2,conservatives
46911,😆,2,conservatives
41665,😆,2,conservatives
31957,😆,2,conservatives
13114,👍,2,conservatives
44018,👍,2,conservatives
64737,😆,2,conservatives
21892,😡,0,conservatives
34075,👍,2,conservatives
69716,❤️,2,conservatives
89280,😆,2,conservatives
84832,👍,2,conservatives
47489,👍,2,conservatives
97395,👍,2,conservatives
44748,👍,2,conservatives
95531,👍,2,conservatives
34186,👍,2,conservatives
3725,👍,2,conservatives
77204,👍,2,conservatives
71011,👍,2,conservatives
91595,👍,2,conservatives
66797,👍,2,conservatives
95426,👍,2,conservatives
59860,👍,2,conservatives
3247,👍,2,conservatives
78086,👍,2,conservatives
48345,👍,2,conservatives
59049,👍,2,conservatives
93726,👍,2,conservatives
46203,👍,2,conservatives
52828,👍,2,conservatives
77824,👍,2,conservatives
27842,👍,2,conservatives
67654,👍,2,conservatives
19597,👍,2,conservatives
74302,👍,2,conservatives
73313,😆,2,conservatives
83035,👍,2,conservatives
86635,👍,2,conservatives
63818,👍,2,conservatives
32533,👍,2,conservatives
40864,👍,2,conservatives
18346,👍,2,conservatives
24639,👍,2,conservatives
12591,👍,2,conservatives
61991,👍,2,conservatives
12576,👍,2,conservatives
86018,👍,2,conservatives
78376,👍,2,conservatives
97962,😆,2,conservatives
44456,👍,2,conservatives
217,👍,2,conservatives
50762,👍,2,conservatives
12761,👍,2,conservatives
89506,😆,2,conservatives
45843,👍,2,conservatives
95230,👍,2,conservatives
84333,👍,2,conservatives
79542,👍,2,conservatives
52058,👍,2,conservatives
12866,👍,2,conservatives
78186,👍,2,conservatives
58698,😆,2,conservatives
75410,👍,2,conservatives
88767,👍,2,conservatives
52919,👍,2,conservatives
47279,👍,2,conservatives
43641,👍,2,conservatives
76543,👍,2,conservatives
91131,👍,2,conservatives
1281,👍,2,conservatives
57971,👍,2,conservatives
4407,👍,2,conservatives
82065,👍,2,conservatives
83114,👍,2,conservatives
13472,❤️,2,conservatives
93435,👍,2,conservatives
28616,😡,0,conservatives
5227,👍,2,conservatives
85710,👍,2,conservatives
46101,👍,2,conservatives
29721,👍,2,conservatives
49454,👍,2,conservatives
40288,👍,2,conservatives
36194,😆,2,conservatives
29032,👍,2,conservatives
72567,👍,2,conservatives
6355,👍,2,conservatives
17089,👍,2,conservatives
56415,😆,2,conservatives
11922,👍,2,conservatives
42008,👍,2,conservatives
8701,👍,2,conservatives
67358,👍,2,conservatives
94178,❤️,2,conservatives
50035,👍,2,conservatives
70246,👍,2,conservatives
42295,❤️,2,conservatives
11806,👍,2,conservatives
25843,👍,2,conservatives
74707,👍,2,conservatives
24936,😆,2,conservatives
64827,😆,2,conservatives
57603,👍,2,conservatives
200,👍,2,conservatives
36471,👍,2,conservatives
90338,👍,2,conservatives
51431,👍,2,conservatives
85310,👍,2,conservatives
43233,👍,2,conservatives
61078,👍,2,conservatives
1109,👍,2,conservatives
75681,👍,2,conservatives
1611,👍,2,conservatives
93012,👍,2,conservatives
33946,👍,2,conservatives
16431,👍,2,conservatives
29961,👍,2,conservatives
41249,❤️,2,conservatives
87139,❤️,2,conservatives
92469,😆,2,conservatives
73657,👍,2,conservatives
41494,👍,2,conservatives
33678,👍,2,conservatives
20133,👍,2,conservatives
43562,😆,2,conservatives
52356,😡,0,conservatives
45951,👍,2,conservatives
92401,❤️,2,conservatives
75320,👍,2,conservatives
10002,👍,2,conservatives
4137,👍,2,conservatives
51361,😡,0,conservatives
32296,👍,2,conservatives
30359,👍,2,conservatives
91330,👍,2,conservatives
5808,👍,2,conservatives
39620,👍,2,conservatives
95460,👍,2,conservatives
84225,👍,2,conservatives
43297,👍,2,conservatives
27983,😆,2,conservatives
26089,👍,2,conservatives
29958,👍,2,conservatives
56764,❤️,2,conservatives
22721,👍,2,conservatives
69045,👍,2,conservatives
23142,😆,2,conservatives
60689,👍,2,conservatives
19090,👍,2,conservatives
93584,😆,2,conservatives
39758,👍,2,conservatives
95507,👍,2,conservatives
19625,👍,2,conservatives
80355,👍,2,conservatives
31923,😆,2,conservatives
8821,👍,2,conservatives
43887,👍,2,conservatives
64284,👍,2,conservatives
82802,👍,2,conservatives
82916,👍,2,conservatives
41503,👍,2,conservatives
53053,👍,2,conservatives
1790,😆,2,conservatives
31246,👍,2,conservatives
15991,👍,2,conservatives
33612,👍,2,conservatives
36002,😆,2,conservatives
91780,😆,2,conservatives
20279,😆,2,conservatives
8232,👍,2,conservatives
76712,👍,2,conservatives
45302,😆,2,conservatives
28269,😆,2,conservatives
20887,😆,2,conservatives
60399,👍,2,conservatives
45588,👍,2,conservatives
77342,👍,2,conservatives
84213,👍,2,conservatives
35036,👍,2,conservatives
30121,👍,2,conservatives
58901,😆,2,conservatives
47358,👍,2,conservatives
71786,👍,2,conservatives
90267,👍,2,conservatives
73102,👍,2,conservatives
50860,👍,2,conservatives
55290,👍,2,conservatives
77619,👍,2,conservatives
14750,👍,2,conservatives
94257,😆,2,conservatives
21225,😆,2,conservatives
68023,👍,2,conservatives
47598,👍,2,conservatives
72108,👍,2,conservatives
33398,😡,0,conservatives
65522,👍,2,conservatives
74019,👍,2,conservatives
77115,👍,2,conservatives
70317,👍,2,conservatives
64403,👍,2,conservatives
1099,👍,2,conservatives
52903,👍,2,conservatives
46454,👍,2,conservatives
81216,👍,2,conservatives
87264,❤️,2,conservatives
24467,😡,0,conservatives
41761,👍,2,conservatives
92385,👍,2,conservatives
87247,❤️,2,conservatives
78704,👍,2,conservatives
50403,👍,2,conservatives
7914,👍,2,conservatives
17943,👍,2,conservatives
70556,👍,2,conservatives
16865,👍,2,conservatives
74613,😆,2,conservatives
67345,👍,2,conservatives
2270,👍,2,conservatives
98208,👍,2,labour
175377,👍,2,labour
123761,👍,2,labour
163458,👍,2,labour
102570,👍,2,labour
140798,👍,2,labour
143568,👍,2,labour
105154,👍,2,labour
138331,😆,2,labour
110897,👍,2,labour
105572,👍,2,labour
136333,👍,2,labour
128543,👍,2,labour
119779,😆,2,labour
141553,👍,2,labour
144899,👍,2,labour
126721,😆,2,labour
132761,👍,2,labour
127155,👍,2,labour
101947,👍,2,labour
149166,❤️,2,labour
172744,😆,2,labour
117201,👍,2,labour
155089,😆,2,labour
162878,👍,2,labour
132936,❤️,2,labour
127173,👍,2,labour
140916,👍,2,labour
160114,😆,2,labour
151895,👍,2,labour
116713,👍,2,labour
167223,😆,2,labour
112147,👍,2,labour
136204,😆,2,labour
164812,😆,2,labour
150435,👍,2,labour
114705,👍,2,labour
165917,👍,2,labour
143520,👍,2,labour
120197,👍,2,labour
105361,👍,2,labour
161737,👍,2,labour
101721,👍,2,labour
151529,👍,2,labour
98162,👍,2,labour
150422,👍,2,labour
139133,👍,2,labour
139708,😆,2,labour
166107,👍,2,labour
123024,👍,2,labour
132941,❤️,2,labour
124805,👍,2,labour
169629,👍,2,labour
173843,😆,2,labour
153223,😆,2,labour
141337,😆,2,labour
100131,👍,2,labour
137519,👍,2,labour
102556,👍,2,labour
127720,👍,2,labour
144527,👍,2,labour
146993,❤️,2,labour
162557,👍,2,labour
120509,👍,2,labour
171484,👍,2,labour
133008,😆,2,labour
165482,👍,2,labour
152305,👍,2,labour
138290,😆,2,labour
142275,😆,2,labour
167974,😆,2,labour
120671,👍,2,labour
144765,👍,2,labour
160880,😆,2,labour
134234,👍,2,labour
133635,👍,2,labour
136106,❤️,2,labour
170784,👍,2,labour
98097,👍,2,labour
167136,😆,2,labour
144138,😡,0,labour
131742,👍,2,labour
152775,👍,2,labour
112547,👍,2,labour
104101,👍,2,labour
170386,❤️,2,labour
124057,👍,2,labour
153552,😆,2,labour
142173,👍,2,labour
123380,😆,2,labour
102732,👍,2,labour
102229,👍,2,labour
164972,😆,2,labour
163990,👍,2,labour
137579,👍,2,labour
103051,👍,2,labour
144768,👍,2,labour
134872,👍,2,labour
117312,😆,2,labour
171269,👍,2,labour
165598,👍,2,labour
120343,👍,2,labour
155491,👍,2,labour
106057,😢,0,labour
169126,👍,2,labour
127947,👍,2,labour
124846,👍,2,labour
120666,👍,2,labour
113221,👍,2,labour
116735,👍,2,labour
101434,😆,2,labour
149103,❤️,2,labour
98378,😆,2,labour
146807,👍,2,labour
153527,👍,2,labour
105758,👍,2,labour
99490,👍,2,labour
129373,👍,2,labour
168580,👍,2,labour
122926,👍,2,labour
133652,👍,2,labour
152284,👍,2,labour
131411,👍,2,labour
118032,👍,2,labour
141953,👍,2,labour
141728,😆,2,labour
142349,😡,0,labour
128141,👍,2,labour
169831,👍,2,labour
164978,😆,2,labour
146446,😡,0,labour
149670,👍,2,labour
117523,👍,2,labour
120468,👍,2,labour
138434,😆,2,labour
169948,👍,2,labour
167662,👍,2,labour
135699,👍,2,labour
136455,👍,2,labour
171797,👍,2,labour
145038,👍,2,labour
117538,👍,2,labour
170673,😆,2,labour
144766,👍,2,labour
109799,👍,2,labour
102971,👍,2,labour
112198,👍,2,labour
126828,😆,2,labour
160631,👍,2,labour
111294,👍,2,labour
117836,👍,2,labour
126862,😆,2,labour
142365,👍,2,labour
99026,👍,2,labour
128639,👍,2,labour
150875,😆,2,labour
175809,👍,2,labour
134953,👍,2,labour
146217,👍,2,labour
158493,👍,2,labour
103762,👍,2,labour
120667,👍,2,labour
121840,👍,2,labour
138835,👍,2,labour
145488,😆,2,labour
138386,😆,2,labour
171409,👍,2,labour
140461,👍,2,labour
154964,😆,2,labour
165952,👍,2,labour
139684,😆,2,labour
145764,👍,2,labour
106498,👍,2,labour
161658,😡,0,labour
124782,👍,2,labour
137325,👍,2,labour
157834,❤️,2,labour
131784,❤️,2,labour
112650,👍,2,labour
171603,👍,2,labour
158330,😆,2,labour
142653,👍,2,labour
170140,👍,2,labour
158886,👍,2,labour
174486,👍,2,labour
107776,👍,2,labour
123797,👍,2,labour
154671,👍,2,labour
149206,😆,2,labour
167304,😆,2,labour
174558,👍,2,labour
130609,👍,2,labour
141730,😆,2,labour
137667,👍,2,labour
132008,👍,2,labour
107993,👍,2,labour
118012,👍,2,labour
126869,😆,2,labour
174750,👍,2,labour
135187,😆,2,labour
123078,👍,2,labour
134409,👍,2,labour
100163,👍,2,labour
155685,👍,2,labour
143336,👍,2,labour
158055,😆,2,labour
110444,❤️,2,labour
147193,😆,2,labour
114751,👍,2,labour
163761,👍,2,labour
