,message,created_time,label
323,Well done Rishi 👏🏻👏🏻,2022-11-19T17:51:52+0000,2
135,Some comments on hear make me laugh when have labour ever been great 😂,2023-01-01T00:45:13+0000,0
123,"Reform guys, Reform.. ✔️",2023-01-04T20:47:39+0000,2
219,Job well done by a superb team. 💪💪🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿🏴󠁧󠁢󠁥󠁮󠁧󠁿,2022-12-04T21:40:54+0000,2
104,"🔶🟡 Ambulance Crisis - 5 Point Winter Plan 🟡 Launch a campaign to retain, recruit and train paramedics and other ambulance service staff.  🟡 Bring forward a fully funded programme to get people who are medically well enough discharged from hospital and set up with appropriate social care and support.  🟡 In addition to getting people out of hospital so that they get care in a more comfortable setting, the number of beds in hospitals needs to be increased to end excessive handover delays for ambulances, caused by a lack of bed capacity.  🟡 Expand mental health support services to get people the appropriate care they need and reduce the number of call outs for ambulances for mental health reasons.  🟡 Pass Daisy Cooper MP’s Ambulance Waiting Times Bill into law that would require  accessible, localised reports of ambulance response times to be published. This would ensure that ‘hot spots’ with some of the longest waiting times can be identified routinely. 12 hour waits at A&E should also be published from arrival at hospital rather than the ‘decision to admit’ as is current practice, so that the true scale of the problem is clear for all to see.",2023-01-12T13:14:04+0000,1
107,This constant criticism of others isn’t really working is it 🤷🏻‍♀️ best to get your own house in order first before trying to censure others .. this is what improves your validity.,2023-01-06T09:31:12+0000,1
39,Yes we do know why because the Tory’s are shafting every hard working person 🤬,2023-01-17T18:12:38+0000,0
269,Good luck  👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,2022-11-29T18:37:24+0000,2
154,"If you are that grateful, make MP’s salaries the same as nurses salaries and give pensioners a living state pension then maybe close all borders to economic migrants - or isn’t it about the money 😡😡😡",2022-12-24T13:56:49+0000,0
159,"😱 🔵 Government announce plans to  introduce anti-strike laws 🟡: The Government has announced they are bringing forward legislation to enforce minimum service levels in health, rail, fire, borders and education services. 🟡: Minimum service levels won’t avert disruption. There will still be huge overcrowding and delays which is no good to people in an emergency. The best way to avoid disruption is to prevent these strikes in the first place, which means getting round the table with staff and employers to find a solution. 🟡: This looks like another attempt by the Conservatives to distract from their appalling mismanagement of the economy and from their failure to avert strikes in the first place. 🟡🔶🧡 We’ll be carefully scrutinising this legislation. But from what the government is saying, our concern is this simply won’t work.",2023-01-05T12:52:10+0000,0
84,🤑,2022-12-03T23:21:40+0000,1
75,"""Oh no he didn't""  Just like he didn't party in Durham🤣🤣🤣🤣",2023-01-11T17:53:17+0000,0
24,A holocaust survivor said the following: beware of those that promise the earth. But deliver nothing!  Seem familiar🤔🤔🤔,2023-01-27T18:38:34+0000,0
255,"You could have said it better by handing Scotland a section 30 order and actually let Scotland have a voice in the UNUNITED UNEQUAL kingdom   .....oh sorry, my apologies!! I forgot, being a Scot means we are only allowed a voice once, then you can't open your mouth ever again!! 🚫😶😶😶😶😶😶🚫",2022-12-02T13:12:01+0000,0
164,💯👏👏👏,2022-11-21T18:22:53+0000,2
44,Thats a great policy however we train them we retain them Conditional on they must serve the NHS for a  minimum of five years payback time 🩺,2022-12-12T17:40:41+0000,1
186,Labour doesn’t even stand up for its own workers rights 🙄,2022-11-20T10:02:27+0000,0
41,"👍 News from the Good Law Protect.  👎 A leaked document has revealed which Conservative MPs and Peers funnelled companies through a ‘VIP lane’ for lucrative PPE contracts, without competition.  👎 A staggering £1.6 billion worth of contracts were awarded as a result of referrals from just ten politicians at the heart of the Conservative party.  👎 The leaked list of the 47 companies in the VIP lane, first seen by Politico, can be found here.  https://goodlawproject.org/conservative-politicians-vip-lane/",2023-01-25T13:25:24+0000,0
314,Tackling inflation by spending shed loads of money and handing out more benefits. Mr Sunak it was you shelling out all the Covid money that has got us into this mess. And now you are our PM 🤔🤔,2022-11-20T18:08:29+0000,0
51,Well done England 🏴󠁧󠁢󠁥󠁮󠁧󠁿 you are one of the best teams in the world.,2022-12-10T22:22:54+0000,2
119,Chronic underfunding of the NHS is not an unexpected‘crisis’ It is deliberate sabotage 😡,2023-01-05T23:27:01+0000,0
59,"December 11, 2022:  #PleaseRT  But Russia is trying to pull the curtain on the war. Russia has entered an all-out offensive. We should end the war! ● Click below for the full text! https://toworldmedia.blogspot.com/ ❤ The world's ""special zones"": USA's Mexican border, EU Algeria, Commonwealth 　British Commonwealth - Australia, Okinawa, North Korea, Sakhalin...English, Japanese, French, German　　 https://naganoopinion.blog.jp/  --------- The Labour Party @labourparty  Please do your best ---------  ........",2022-12-10T05:48:50+0000,1
55,Let's go one step further shall we ? How about allowing our constituencie parties  to choose who THEY want to stand as their MP.just a thought 🤔,2022-12-10T10:23:17+0000,1
198,"I don't blame the Tories, they are what they are, they have always represented the rich and shafted the poor, I blame the stupidly of the working class men and women who allowed themselves to be influenced to vote for them 😡",2022-11-18T15:28:45+0000,0
274,Should think about protecting England. White British are now the minority!! FGS!! 😡,2022-11-30T09:09:06+0000,0
189,"Excellent speech again. Spoken with direction and clear vision for the future. Unlike Sunak the clown who still thinks banks need bailouts, the public is lazy, and the homeless own companies. I see a few more of Sunaks NHS contract rat friends have been investigated. I wonder how long until each profiteer and donor throws the Tories under the bus 🚌 to escape criminal prosecutions.",2022-12-29T07:58:19+0000,0
77,"Lol, won't happen 🤣....Even if Guardian readers and lefties buy into it...",2022-12-05T11:59:39+0000,0
99,Amen 🙏,2023-01-07T18:34:50+0000,2
180,About six weeks ago I listened stunned when we had the unelected 🐍 Sunak foisted on us.,2022-12-16T11:05:43+0000,0
102,Oh thank goodness for that! We were all really worried about all those people buying new builds having a dodgy internet connection...🙄,2023-01-06T14:09:36+0000,0
195,🇬🇧🇪🇺🌟,2022-12-27T19:32:20+0000,2
7,"They have to get the bloody Tories out first. If you want what you say , get your fingers out and make a difference 🥱",2022-12-21T10:41:01+0000,0
60,"Did they ask him why he goes back on his 'pledges', lies, why is he so vindictive, why he won't back workers rights, why is he is so unprincipled etc etc😡",2022-12-12T10:45:27+0000,0
