,message,created_time
0,How can you grow the economy with you bunch of tossers and ofgem ripping us off.. nobody with half a brain cell would set up shop in UK 😡,2023-01-30T16:21:44+0000
1,Staff leaving the sector in droves! Nobody wants to work for the peanuts being offered & the long term debt training in the NHS inflicts on staff. They are really living in a parallel world this lot. 😡,2023-01-30T10:47:22+0000
2,Great 5000 beds between more than 1250 hospitals. Those 4 beds per hospital will make all the difference 🙄 Please take what remaining nurses we have left in our hospitals for your grand plan. Not like we have a staffing shortage right now.,2023-01-30T17:47:30+0000
3,"✅ Our economy is growing and there's 888,000 more people on company payrolls than pre-pandemic",2023-01-27T13:13:46+0000
4,"That’s the narrative that has been sold for 13 years now , it doesn’t hold water 💦 anymore",2023-01-27T14:25:59+0000
5,"Can you PLEASE PLEASE do something about all of our gas heating bills. I’ve never known it to be so high. So expensive.We are getting help for  Our electric, and not our gas. I’ve received a one off payment some time ago. Nothing since. The gas board seem very proud of their MASSIVE PROFITS. I feel we are being ripped off. Myself and my husband are pensioners, with a lot of health conditions. Please help us. Hoping the above somehow touches your heartstrings, not just for us but everyone. Hoping to hear back from you ASAP WITH GOOD NEWS.👌X",2023-01-29T08:27:57+0000
6,And I hope that you are going to sort out all this corruption too!! 😡,2023-01-27T15:56:22+0000
7,Never forget - we never seem to learn from history - but should at least remember 🫶,2023-01-27T11:27:21+0000
8,We must never forget what those poor souls went through so that it never happens again 💔 RIP,2023-01-27T13:11:40+0000
9,Should always be remembered RIP 💓💓,2023-01-27T12:47:02+0000
10,Lest we forget 😪❤️,2023-01-27T11:05:47+0000
11,Never forget bless their souls R.I.P ❤️👼🙏🏻,2023-01-27T23:34:13+0000
12,I watched Schindler's list last night and lit a candle at 4pm today .....✡️🕯️,2023-01-27T19:01:04+0000
13,Should never be forgotten.💔,2023-01-27T14:05:44+0000
14,Absolutely right not to forget. Its a shame though the victims of the Kamir Rouge and the attrocities during the 2nd world war of the Japanese et al dont get the same respect. 🤔,2023-01-27T14:33:01+0000
15,It's all just words. There are have been so many years of a lack of investment and neglect. We are in catch up mode. Ask anyone in the profession they will give you and accurate representation of the current situation. I think you will find there is a lot of concern about what the future holds. Check out Question Time Last week..embarrassing 😡,2023-01-23T19:29:26+0000
16,What utter bullshit... I deal with folks with MH needs daily... And currently have a few complaints waiting... Due to negligence in your NHS units... And two inquests to attend of young men under 30.. Who would still be here if professionals had stuck to protocols!! 😡,2023-01-30T04:14:41+0000
17,Do you have to be a Tory voter😀,2023-01-23T19:57:58+0000
18,As a lifelong Conservative and still a paid up member I can assure you that in my opinion there are absolutely no Brexit benefits. Also the Party has split into factions and those in groups such as the ERG are extremely dangerous. In Richi Sunak we have a good Leader now but the Party is currently beyond repair😩,2023-01-23T15:14:20+0000
19,These benefits - are they going to be kept a secret for much longer cos people are getting curious 😂,2023-01-23T13:55:51+0000
20,"Take full advantage of workers more like. Workers protections down the drain, and now you can exploit them harder... Yay 😕",2023-01-23T18:32:32+0000
21,A very happy Chinese New Year 🙏💖,2023-01-22T14:37:18+0000
22,New year was the 1st of January the Chinese need to keep up 🤣🤣,2023-01-22T09:24:01+0000
23,"Goodness, that’s almost as much as Liz Truss’ ill fated premiership cost the country. Very selective memory 🙈",2023-01-20T12:40:05+0000
24,"You have got to be joking under the Conservatives everything is costing more, peoples mortgages, energy, food etc etc. blame Liz Truss for some of that.  Get real and stop treating us like idiots 😡",2023-01-20T16:44:17+0000
25,"I partly understand the government opposition to putting cash into Britvolt, however even a 50 % investment would only be approx half of the £5B lost through fraudulent covid business grants 🤔",2023-01-19T10:20:16+0000
26,"People need to stand back and think. A tremendous amount of money borrowed to help people and get us through COVID this has to be paid back. The country doesn’t have a bottomless pot of money. Do these strikers think they are the only ones finding life difficult at the moment. What would happen if shop workers all decided to walk out!!! Unions could bring this country to its knees, and I think that is what Labour want 😡😡😡",2023-01-19T06:47:30+0000
27,"This is terrible spin doctoring. By your leader.  It’s not about paymasters; he’s a fine one to shout that out on money he’s got! No, it’s about people having the right to a fair wage and reasonable standard of life, just like an MP! I really am disliking this man more on daily basis 🤬",2023-01-19T05:40:05+0000
28,"And yet at the same time plummeting towards becoming a third world country full of debt, strikes and food banks 😡",2023-01-18T08:09:47+0000
29,"People still won't be satisfied and will still moan! This country is full of victims with the wrong mentality. Instead of finding a way to be apart of the growth they want to find a way to put it down or take from it.   Great job Rishi, keep up the good work👍",2023-01-18T11:36:42+0000
30,I suppose this morning's snow is down to Brexit is it? 🤣🇬🇧,2023-01-18T08:59:43+0000
31,Vote Labour 🗳,2023-01-18T09:41:57+0000
32,What would the opposition do???? If everyone was self employed life would be different…. It’s a culture of handouts 😡😡,2023-01-18T20:13:45+0000
33,ow if you could just ensure they were paid properly and had decent conditions🤔🤔,2023-01-17T19:37:37+0000
