,message,created_time
0,"I wanted to thank you for my present of expulsion, it’s meant my time I would have been secretary of our CLP can be devoted to things that actually make the lives of those in need better.   I hope your Turkey 🦃 is dry!",2022-12-25T11:48:07+0000
1,"Christmas is a reminder that we should, as a country, remember to assist those less fortunate than ourselves.   Remember that it is easier for a rich person to pass through the eye of a needle … and all that! 😁",2022-12-25T17:41:28+0000
2,Some seem upset that Labour have gone for a blue sky.🤣 Well merry christmas and look forward to a Labour government.,2022-12-25T09:18:14+0000
3,Fingers crossed for a Labour government in 2023 😀,2022-12-25T16:14:32+0000
4,All I want for Christmas is Jeremy Corbyn back where he belongs and YOU stuck in the 7th circle of Hell with Thatcher. Merry Christmas indeed 🤬,2022-12-24T12:26:39+0000
5,'Compassion and Kindness?'  🤣🤣... thats precisely why I joined the labour party.  But they departed and so did I.,2022-12-25T09:23:46+0000
6,don't bother reading the comments. it's just the same old boring whataboutery. #KS4PM MERRY CHRISTMAS 🎅,2022-12-21T15:34:41+0000
7,"They have to get the bloody Tories out first. If you want what you say , get your fingers out and make a difference 🥱",2022-12-21T10:41:01+0000
8,"So which parent company will make, erect and maintain the wind turbines. Will it be Norwegian.  Will we make sure that all the firms that have anything to do with our utilities and transport are foreign, like now .😡",2022-12-22T21:58:00+0000
9,At least with this one you know IN ADVANCE he serves the US Oligarchy.!!! 🤣🤣🤣🤣🤣🤣,2022-12-21T11:03:21+0000
10,Roll on a majority Labour govt led by the outstanding Keir Starmer. Forward in 2024 🌹🌹🌹,2022-12-23T08:29:13+0000
11,Forward towards a govt of integrity for all the people🌹,2022-12-21T09:46:14+0000
12,As usual people coming up with problems to solutions which mens we will never get anywhere 🙈,2022-12-22T15:32:44+0000
13,For the working man 🤣 don’t make me laugh. You imbeciles are pushing through the biggest charging clean air zone in Europe in Manchester. For the pleasure to go to work it will cost me an extra £3650 a year for the privilege. Liverpool have refused it. Leeds worked around it. Manchester Labour council lapped it up. Burnham was giving dodgy contracts to his wife’s company. How corrupt can you be really…,2022-12-21T07:58:15+0000
14,I’d like to see a presence on the picket lines too. From a Postie. Solidarity with nurses ✊✊✊,2022-12-19T16:27:49+0000
15,"We brought in Nigerian Doctors to cover... They want to go home, because conditions in NHS England are so bad... Not safe for patients or staff... You NEED to do WAY better than make promises you just can't keep 🙈🙈 Start by showing your support to our striking NHS Staff !!!!",2022-12-18T11:35:19+0000
16,"How anyone can believe this ingenious lot, is beyond me! How much more has to be printed about the fascist tactics of this wannabe tories party for you all to wake up! If you really want to shake up the status quo of both these parties and get real change then no working person nor Labour traditionalist should be voting for this tory B Team nor the tories! Starmer is the epitome of a Tory, and those wanting to put him in No 10 are going to be bitterly disappointed 😢",2022-12-18T12:47:06+0000
17,All the usual moaners moaning 😂 KS4PM 👍,2022-12-17T10:36:00+0000
18,Really🤔🤔🤔she must be joking labour party are no longer a party for the working class.😡,2022-12-17T14:17:11+0000
19,I know a few rich Americans that will be rolling their sleeves up. 😅,2022-12-16T16:10:29+0000
20,"Having suffered post operative complications due to being on a waiting list for minor surgery for almost two years, this is an issue very close to my heart and must be resolved. This gets my vote 👍",2022-12-17T16:03:21+0000
21,This TORIES government have Rob THE TAXPAYERS MONEY FOR THE LAST 12 YEARS THEY ARE CORRUPT & EVIL ALL  ARE GOING BACK VICTORIAN TIMES 😡👿👿👿,2022-12-16T21:59:16+0000
22,Congratulations ❤️ result was never in doubt 🌹,2022-12-16T09:48:59+0000
23,Well done Andrew  congratulations 🎉,2022-12-16T09:23:11+0000
24,Great news. Well done. 👍,2022-12-16T09:02:35+0000
25,Excellent ❤️ love this congratulations ANDREW xx,2022-12-16T12:16:16+0000
26,Quintin-Gayle Morris nothing to do with weather then? Not always voter Apathy at fault. Also Tory voters not voting rather than voting for an alternative. Well done new Labour MP once we take power from this weak Tory mistake Government. Will standards and honesty and integrity return to our UK politics? oh yes! Go Keir your time is now🌹🌹,2022-12-16T14:51:57+0000
27,"Can I choose a fully funded renationalised NHS please? Is that an option, or is this post just more gaslighting? 😉",2022-12-15T18:28:02+0000
28,From my own experience the NHS was much better under a Labour government 👍🏼🙏🏼,2022-12-15T09:32:16+0000
29,"Tory government is a disgrace, also those who vote for them 💯 in support of nurses",2022-12-15T11:02:34+0000
30,I can’t wait for us to be back in government again 👏🏼 no public services are ever safe in the hands of Conservative governments.,2022-12-15T13:29:26+0000
31,"All we hear from Starmer on the NHS is reform reform, reform…..now what and how is he going to reform 🤔 good luck on believing that Charlatan! Even the vile tory cheerleader Nick Ferrari is starting to look lovingly at him whenever he is on his program 🙄",2022-12-14T15:50:08+0000
32,"Can’t get GP appointment because Labour all them years ago gave them rule to do what they want at the cost of a fortune to the tax payer, well done Labour, you know how to run the NHS about as well as the Tories 👍🏼",2022-12-14T12:30:38+0000
33,Under Labour we would still be locked down for Covid ! 😡,2022-12-14T17:00:29+0000
34,"It all sounds good, but it's just paying ""lip service "" especially when Wes Streeting is STILL backing further Privatisation!!! We ONLY have the ONE pool of Doctors and they're leaving in droves...Waiting list for a Private Consultation is now over 6 weeks....🙈🙈 Gordon Brown's decision to underwrite PFI'S was a terrible decision...One that even John Major wasn't foolish enough to do 🙈🙈... We need to repeal the 2012 Health and Social care Act....We need to make fundamental changes...I have NO Faith in Labour to do this...It's All Talk!!",2022-12-14T11:31:46+0000
35,Well done Wes. Who says they don’t know which direction Labour is going ? Truth to power with clear policies. KS4PM @ GE2024…. or sooner🌹🌹🌹,2022-12-14T08:18:58+0000
36,No mention our NHS is   about to becoome an insurance based one like USA...a journey since 2008 on a 10 point plan.....😥,2022-12-14T08:03:07+0000
37,"Instead of the UK government to review salaries of nurses, carers, teachers they resort to importing these skills from abroad! They recruit from abroad because in the short term of 5years, the imported skills would be satisfied with low wages until they become citizens and then suddenly want more money...I am honestly counting down to the next election to see conservatives gotten rid of! Useless bunch of individuals..they are ok to inflate council taxes but not salaries 😳😳! They expect nurses,  carers and teachers to survive this inflation with their original wages when 100pound shopping is nothing anymore 🤔...Labour u don't need to import more nurses, pay them better and abolish agencies that reap the people off! Perhaps better overtime for them and u would not need them working for agencies! Do your research well by making nursing an attractive career with better salary and free education then importation of skill would be less",2022-12-13T14:46:37+0000
