,message,created_time
2,"🔶🟡 Shell Profits 🟡 Shell profits increased by 53% to £68.1 billion in 2022 due to soaring oil prices, the energy giant has announced. 🟡 No company should be making these kind of outrageous profits out of Putin's illegal invasion of Ukraine. 🟡 Rishi Sunak was warned as chancellor and now as Prime Minister that we need a proper windfall tax on companies like Shell and he has failed to take action. 🟡 Families across the country are struggling to heat their homes and feed their families and this government turns round and says, there is nothing we can do. 🟡 They must tax the oil and gas companies properly and at the very least ensure that energy bills don’t rise yet again in April.",2023-02-02T10:39:03+0000
3,"Statement from Richard Foord  Lib Dem MP of Tiverton and Honiton. 🟡🔶 after nearly 18 months of campaigning at every level across our party, we Lib Dems have finally worn down the Government on sewage.  🟡 I have just tabled an amendment to the UK Infrastructure Bank Bill, which has just been passed in the House of Commons, with the Government standing down their opposition to our campaign.  🟡 The amendment ensures that the Government’s new Infrastructure Bank will not invest in water companies unless they produce a costed and time-limited plan to end sewage discharges into local rivers.  🟡 The prospect of taxpayers' funds going to water companies who are paying their executives millions of pounds in bonuses, while permitting prolific sewage discharges is scandalous.",2023-02-01T19:54:39+0000
6,"Just think, Tory ilk supporters still think the Tories have value. Talk about Tories measuring IQ on 5cm ruler 🤦‍♂️ Note the US private medical company Centene pays zero tax in the U.K., yet still given many PFI contracts even after multiple charges of false accounting and fabricated purchase orders found by NHS auditors. The US Democrat enquiry charged Centene with £1 billion fraud charge.  https://calderdaleandkirklees999callforthenhs.wordpress.com/2021/12/12/centene-corporation-is-paying-out-1bn-to-settle-its-medicaid-and-medicare-rip-offs-why-should-we-care/",2023-01-30T21:28:54+0000
14,The reality is that any MP who is being investigated for tax evasion should be suspended.  Although that may shatter the tory majority 🤔,2023-01-30T12:51:38+0000
21,"🔶🟡 Shell Profits 🟡 Shell profits increased by 53% to £68.1 billion in 2022 due to soaring oil prices, the energy giant has announced. 🟡 No company should be making these kind of outrageous profits out of Putin's illegal invasion of Ukraine. 🟡 Rishi Sunak was warned as chancellor and now as Prime Minister that we need a proper windfall tax on companies like Shell and he has failed to take action. 🟡 Families across the country are struggling to heat their homes and feed their families and this government turns round and says, there is nothing we can do. 🟡 They must tax the oil and gas companies properly and at the very least ensure that energy bills don’t rise yet again in April.",2023-02-02T10:39:12+0000
22,"Statement from Richard Foord  Lib Dem MP of Tiverton and Honiton. 🟡🔶 after nearly 18 months of campaigning at every level across our party, we Lib Dems have finally worn down the Government on sewage.  🟡 I have just tabled an amendment to the UK Infrastructure Bank Bill, which has just been passed in the House of Commons, with the Government standing down their opposition to our campaign.  🟡 The amendment ensures that the Government’s new Infrastructure Bank will not invest in water companies unless they produce a costed and time-limited plan to end sewage discharges into local rivers.  🟡 The prospect of taxpayers' funds going to water companies who are paying their executives millions of pounds in bonuses, while permitting prolific sewage discharges is scandalous.",2023-02-01T19:54:49+0000
37,"🔶🟡 Shell Profits 🟡 Shell profits increased by 53% to £68.1 billion in 2022 due to soaring oil prices, the energy giant has announced. 🟡 No company should be making these kind of outrageous profits out of Putin's illegal invasion of Ukraine. 🟡 Rishi Sunak was warned as chancellor and now as Prime Minister that we need a proper windfall tax on companies like Shell and he has failed to take action. 🟡 Families across the country are struggling to heat their homes and feed their families and this government turns round and says, there is nothing we can do. 🟡 They must tax the oil and gas companies properly and at the very least ensure that energy bills don’t rise yet again in April.",2023-02-02T10:39:20+0000
40,"Statement from Richard Foord  Lib Dem MP of Tiverton and Honiton. 🟡🔶 after nearly 18 months of campaigning at every level across our party, we Lib Dems have finally worn down the Government on sewage.  🟡 I have just tabled an amendment to the UK Infrastructure Bank Bill, which has just been passed in the House of Commons, with the Government standing down their opposition to our campaign.  🟡 The amendment ensures that the Government’s new Infrastructure Bank will not invest in water companies unless they produce a costed and time-limited plan to end sewage discharges into local rivers.  🟡 The prospect of taxpayers' funds going to water companies who are paying their executives millions of pounds in bonuses, while permitting prolific sewage discharges is scandalous.",2023-02-01T19:55:00+0000
55,"A valid point, if the Tories drag there barrel for MPs and give them positions, and each one has been grossly incompetent and negligent, we can only wonder from the other 300 Tory MPs, are they even larger train wrecks 🔥  https://www.facebook.com/100044212100227/posts/740359610781102/?extid=0&d=n",2023-01-30T09:01:34+0000
57,"Statement from Richard Foord  Lib Dem MP of Tiverton and Honiton. 🟡🔶 after nearly 18 months of campaigning at every level across our party, we Lib Dems have finally worn down the Government on sewage.  🟡 I have just tabled an amendment to the UK Infrastructure Bank Bill, which has just been passed in the House of Commons, with the Government standing down their opposition to our campaign.  🟡 The amendment ensures that the Government’s new Infrastructure Bank will not invest in water companies unless they produce a costed and time-limited plan to end sewage discharges into local rivers.  🟡 The prospect of taxpayers' funds going to water companies who are paying their executives millions of pounds in bonuses, while permitting prolific sewage discharges is scandalous.",2023-02-01T19:55:08+0000
