,comment_text,label,party
0,😒,0,libdems
1,🧡,2,libdems
2,💩,0,libdems
3,🔶🟡🟡🟡,0,libdems
4,🤫,0,libdems
5,⬇️⬇️⬇️⬇️,2,libdems
6,👏💚♥️💛,2,libdems
7,😩,0,libdems
8,💩💰💰,0,libdems
9,❌❌❌❌❌❌❌,0,libdems
10,🤬😡🤬😡,0,libdems
11,😀😀😀😀,0,libdems
12,🥴,0,libdems
13,🤷🏻‍♀️,1,libdems
14,🤣😂🤣😂🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧🇬🇧,1,libdems
15,🔶🟡🟡🟡🟡,0,libdems
16,😂🤣😂😂🤣👍🫡🇬🇧,0,libdems
17,😂🤣,0,libdems
18,👍,0,libdems
19,🤠,0,libdems
20,👎🏽,0,libdems
21,👍,2,labour
22,💔,1,labour
23,🤬,0,labour
24,💯,1,labour
25,🙏🙏🙏,2,labour
26,🪄,0,labour
27,💚,1,labour
28,🤔,1,labour
29,👇👇👇👇👇,1,labour
30,😞👎,0,labour
31,▪️,0,labour
32,🌹🌹🌹🌹,2,labour
33,🐂💩,0,labour
34,🤔,1,labour
35,🪄,0,labour
36,🤔,1,labour
37,👏👏👏👏👏👏👏,2,labour
38,🤨,0,labour
39,😪,0,labour
40,💩,0,labour
41,😭,0,labour
42,🙏🙏🙏,2,labour
43,🙏💔,2,labour
44,😔,1,labour
45,😉,2,conservatives
46,😂,0,conservatives
47,🇬🇧🇬🇧🇬🇧😡,0,conservatives
48,🤔,0,conservatives
49,🌏,0,conservatives
50,💙💙🇬🇧💪,2,conservatives
51,😂,0,conservatives
52,🙂,0,conservatives
53,😂😂,1,conservatives
54,😡,0,conservatives
55,👍,2,conservatives
56,🤦‍♀️,0,conservatives
57,🙄,0,conservatives
58,🙄,0,conservatives
59,🙏,2,conservatives
60,☦,1,conservatives
61,🐣,2,conservatives
62,🐰🐣✝️,1,conservatives
63,🙄,0,conservatives
64,😒,0,conservatives
65,🎩,0,conservatives
66,🙏,2,conservatives
67,🙏,2,conservatives
68,😂,0,conservatives
69,🤷‍♀️,0,conservatives
70,😉,2,labour
71,😂,0,conservatives
72,😈,0,conservatives
73,😭😭,0,labour
74,🤔,0,conservatives
75,🤔,0,conservatives
76,🙄,1,labour
77,☝️,1,labour
78,🤷,1,conservatives
79,🤪🧐🤔💩,0,labour
80,😂,0,conservatives
81,🤔,1,conservatives
82,😊,2,labour
83,🤔🙄,0,conservatives
84,🤷‍♀️,1,labour
85,👏✔️,2,labour
86,😡,0,conservatives
87,🤔😔,0,labour
