,comment_text,label,party
175564,😆,2,labour
11416,👍,2,conservatives
127526,👍,2,labour
145518,😆,2,labour
5164,😆,2,conservatives
13861,👍,2,conservatives
71106,😆,2,conservatives
174240,👍,2,labour
44753,👍,2,conservatives
179317,👍,2,libdems
9339,👍,2,conservatives
118794,❤️,2,labour
162505,👍,2,labour
11183,🥰,2,conservatives
40084,👍,2,conservatives
14341,👍,2,conservatives
97967,😆,2,conservatives
65705,👍,2,conservatives
70947,👍,2,conservatives
120257,👍,2,labour
150567,😢,0,labour
151033,👍,2,labour
85127,👍,2,conservatives
145081,😆,2,labour
70306,👍,2,conservatives
11574,👍,2,conservatives
133555,👍,2,labour
49462,👍,2,conservatives
16136,😆,2,conservatives
154740,👍,2,labour
43599,👍,2,conservatives
176887,👍,2,libdems
139869,👍,2,labour
50972,👍,2,conservatives
119437,👍,2,labour
36241,😆,2,conservatives
122518,👍,2,labour
175067,👍,2,labour
158517,👍,2,labour
6760,👍,2,conservatives
108417,👍,2,labour
21578,👍,2,conservatives
59662,👍,2,conservatives
24053,😡,0,conservatives
120049,👍,2,labour
176473,👍,2,libdems
61376,👍,2,conservatives
136313,😢,0,labour
158658,👍,2,labour
165105,👍,2,labour
141274,😆,2,labour
44950,👍,2,conservatives
99349,👍,2,labour
48202,👍,2,conservatives
33879,👍,2,conservatives
10914,👍,2,conservatives
31771,👍,2,conservatives
171991,👍,2,labour
72718,👍,2,conservatives
88244,❤️,2,conservatives
134786,👍,2,labour
50156,👍,2,conservatives
127877,👍,2,labour
164678,❤️,2,labour
176680,👍,2,libdems
70325,👍,2,conservatives
75848,👍,2,conservatives
157359,👍,2,labour
173378,👍,2,labour
76690,👍,2,conservatives
77021,👍,2,conservatives
177391,🥰,2,libdems
169710,👍,2,labour
72572,👍,2,conservatives
15124,🥰,2,conservatives
168295,👍,2,labour
121911,👍,2,labour
81358,👍,2,conservatives
68959,👍,2,conservatives
36576,👍,2,conservatives
34682,👍,2,conservatives
156748,😆,2,labour
134234,👍,2,labour
151429,👍,2,labour
1621,👍,2,conservatives
37075,👍,2,conservatives
115413,👍,2,labour
166006,👍,2,labour
106232,👍,2,labour
25436,👍,2,conservatives
119019,😆,2,labour
124000,👍,2,labour
23156,😆,2,conservatives
